Product Name,Image URL,Sizes
ELITE Polo Shirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2020/07/EliteRange-Polo.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
ELITE T-Shirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2020/07/EliteRange-TShirt.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
ELITE Mesh Leisure Shorts (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2020/07/Leisure-Shorts-Navy.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
ELITE Tight Fit Track Pants (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2020/07/NavyTrackPants.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Sublimated Training T-Shirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/05/Phoenix-FCWHITE-Sub-Shirt.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Sublimated Training Shorts (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/09/SproatleyTraining-Shorts.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Bucket Hat,https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/07/Denaby-Main-JFCBucket-Hat.jpg?media=1716291787,
Player Towel,https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2023/05/Towel.png?media=1716291787,
Club Backpack,https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/07/Denaby-Main-JFCBackpack.jpg?media=1716291787,
Bespoke Bobble Hat,https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2024/09/Motion-SportsBobble-Hat.jpg?media=1716291787,
Match T-Shirt (Adult),https://apx-performance.com/wp-content/uploads/2023/11/Core-Kit-1-Sponsor-1024x1024.jpg,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Match Shirt (Long Sleeve) (Adult),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyZlA6unCug3EashKUyNxmryN3ey-qUDAj0g&s,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Training T-Shirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/07/Sub-T-Shirt-Front.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Polo Shirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/06/Wednesfield-FCWarrior-Polo-2.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Leisure T-Shirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/03/Workington-FalconsWarrior-T-Shirt-1.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Crew Neck Training Sweatshirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Desford-FCVanguard-Sweatshirt.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
1/4 Zip Sweatshirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Wheaton-AstonWarrior-Quarter-Zip-1.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Full Zip Tracksuit Top (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Ludlow-TownCenturion-Fulll-Zip.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Zipped Hoodie (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/WixamsZipped-Hoodie.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Match Shorts (Adult),https://apx-performance.com/wp-content/uploads/2023/11/Royal-Shorts-2-1024x1024.jpg,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Training Shorts (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/02/Withernsea-25True-Colour-Short.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Leisure Shorts (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Newc-Thunder-25SPARTAN-WHITE-Shorts.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Track Pants (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/02/Cram-RocketsTrackpants.jpg?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Match Socks (Adult),https://apx-performance.com/wp-content/uploads/2023/11/Royal.png,"7,8,9,10,11"
Hoodie (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/06/APXHoodies-Black.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
Training Socks (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2021/09/White-Training-Sock.png?media=1716291787,"7,8,9,10,11"
Training Glove (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2023/01/APX-Black-Glove-Back.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR Zipped Hoodie (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-Zoodie.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR Full Zip Track Top (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-TrackTop.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR 1/4 Zip Sweatshirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-QZip.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR Hoodie (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-Hoodie.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR Crew Neck Training Sweatshirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-Sweatshirt.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR Polo Shirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-Polo.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR T-Shirt (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-TShirt.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR Mesh Leisure Shorts (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/06/Leisure-Shorts-Black.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
WARRIOR Tight Fit Track Pants (Adult),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/06/BlackTrackPants-web.png?media=1716291787,"S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
